county,subdivision,home_count,avg_year_built,min_year_built,max_year_built,avg_sqft,avg_floors,avg_value,avg_acres,cities,sample_addresses
Utah,Westview Plat C,23,2010.3,2006,2019,2185.4,1.5,913804.3,0.4,Lehi,1073 W 550 N; 1055 W 550 N; 1055 W 550 N
Utah,Lake View Terrace Plat 2,23,2013.1,2013,2014,2016.4,1.6,527865.2,0.2,Saratoga Springs,1502 S LAKE VIEW TERRACE RD; 1597 S TERRACE RD; 1531 S LAKE VIEW TERRACE RD
Salt Lake,Douglas Park Amd,23,2010.2,2000,2020,3317.8,2.0,2079391.3,0.2,Salt Lake City,930 S GREENWOOD TER; 918 S DIESTEL RD; 904 S DIESTEL RD
Utah,Village Of Fox Hollow The Neighborhood 6 Phase 3,22,2017.2,2015,2020,2652.2,1.9,703454.5,0.2,Saratoga Springs,578 W DEER MEADOW DR; 581 W DEER MEADOW DR; 584 W DEER MEADOW DR
Salt Lake,Winchester Overlook,22,2008.6,2007,2011,1964.0,2.0,557536.4,0.0,Murray,6628 S RYKER VISTA LN; 6630 S RYKER VISTA LN; 6632 S RYKER VISTA LN
Salt Lake,Summit View At Rosecrest Phase 3c,22,2019.9,2019,2020,2417.0,1.8,702590.9,0.1,Herriman,4556 W THORLEY DR; 4548 W THORLEY DR; 4542 W THORLEY DR
Salt Lake,Fox Landing Ph 1,22,2017.3,2006,2020,2908.9,1.7,1242290.5,0.5,Draper,868 W OSBORNE FOX WAY; 11578 S FOX VISTA DR; 863 W OSBORNE FOX WAY
Utah,Apple Cove Plat A,22,2004.8,2003,2012,1558.4,1.3,475277.3,0.3,Santaquin,467 W 720 N; 451 W 720 N; 687 N 420 W
Salt Lake,Summerlane At The District Ph 6,22,2011.5,2011,2012,1207.0,2.1,398204.5,0.0,South Jordan,3663 W LILAC HEIGHTS DR; 3669 W LILAC HEIGHTS DR; 3673 W LILAC HEIGHTS DR
Salt Lake,Summerlane At The District Ph 5,22,2010.0,2010,2010,1206.2,2.1,398995.5,0.0,South Jordan,3723 W LILAC HEIGHTS DR; 3721 W LILAC HEIGHTS DR; 3719 W LILAC HEIGHTS DR
Utah,Apple Cove Plat B,22,2007.6,2007,2009,1789.7,1.5,497831.8,0.2,Santaquin,458 W 800 N; 807 N 420 W; 398 W 800 N
Utah,Apple Grove Pud Phase 1 Amd,22,2002.6,2002,2003,1633.2,2.0,480713.6,0.0,Pleasant Grove,968 S APPLE GROVE LN; 942 S APPLE GROVE LN; 682 E 950 S
Utah,Village At Simpson Springs The Pud Plat A 2nd Amd,22,2014.6,2010,2018,1713.0,1.8,448904.5,0.0,Eagle Mountain,8115 N RIDGE LOOP W; 8119 N RIDGE LOOP W; 3324 E QUARTER MILE DR
Utah,Alpine View Plat C,22,2007.0,2004,2020,978.3,1.0,457013.6,0.3,Santaquin,37 E 610 N; 37 E 610 N; 19 E 610 N
Utah,Anthem Park Plat B,22,2018.5,2018,2020,1874.5,1.4,627368.2,0.2,Spanish Fork,198 S 1300 W; 182 S 1300 W; 1298 W 170 S
Salt Lake,Ivory Crossing 11 Pud,22,2016.1,2014,2018,2520.2,1.3,976172.7,0.3,South Jordan,11020 S ALPINE SPRING CT; 11028 S ALPINE SPRING CT; 11032 S ALPINE SPRING CT
Salt Lake,Jordan Haven 2,22,2003.8,2002,2011,2221.6,1.0,866954.5,0.4,South Jordan,1924 W 10610 S; 1902 W 10610 S; 1876 W 10610 S
Utah,Spring Haven Plat A,22,2006.0,2005,2017,1830.4,1.5,762895.5,0.4,Lehi,2410 W 1400 N; 1447 N 2400 W; 1447 N 2400 W
Utah,Amber Meadows Plat A,22,2003.3,2000,2015,2555.6,1.2,1420227.3,0.8,Highland,5663 W 10620 N; 5639 W 10620 N; 5615 W 10620 N
Utah,Stone Hollow At Summit Ridge Plat E,22,2017.1,2017,2018,1763.5,1.4,490718.2,0.2,Santaquin,396 FIRESTONE DR; 423 FIRESTONE DR; 419 FIRESTONE DR
Salt Lake,Village Park At Stonegate Ph 2a1,22,2002.9,2002,2004,2265.6,1.1,493518.2,0.1,West Valley City,5082 W PARK COMMONS WAY; 3168 S PARK COMMONS WAY; 3174 S PARK COMMONS WAY
Salt Lake,Glenmoor Greens Phase 2,22,2018.4,2018,2019,1404.2,1.0,592877.3,0.1,South Jordan,4790 W PAYNE CT; 4782 W PAYNE CT; 4774 W PAYNE CT
Salt Lake,Jackson Downs,22,2011.5,2009,2018,2258.7,1.1,968754.5,0.3,South Jordan,11416 S JACKSON DOWNS WAY; 11438 S JACKSON DOWNS WAY; 11458 S JACKSON DOWNS WAY
Utah,Alice Court Subdivision,22,2007.4,2007,2015,1323.1,1.3,453322.7,0.2,Payson,574 N 450 E; 556 N 450 E; 542 N 450 E
